year,state,unemployment_rate
2007,AK,0.06248554368591034
2007,AL,0.0406809086963339
2007,AR,0.05395385295565611
2007,AZ,0.03715218778526878
2007,CA,0.05332155616858059
2007,CO,0.036682937819164915
2007,CT,0.045274013457205435
2007,DE,0.03409900284900285
2007,FL,0.040057459789311946
2007,GA,0.04558840108471633
2007,HI,0.02757089180184343
2007,IA,0.03714632002679242
2007,ID,0.029782432496861244
2007,IL,0.050916230564405286
2007,IN,0.0464040644769776
2007,KS,0.04268125707363596
2007,KY,0.05375410418353682
2007,LA,0.0408481775862619
2007,MA,0.04497442237939258
2007,MD,0.03449466283248793
2007,ME,0.04698711606909335
2007,MI,0.07077602749272488
2007,MN,0.04601142587594015
2007,MO,0.05097368033149352
2007,MS,0.06131439726230666
2007,MT,0.03389353315718803
2007,NC,0.047255312413394986
2007,ND,0.030479773218517636
2007,NE,0.029621530254880343
2007,NH,0.03531125409114568
2007,NJ,0.04206507860358284
2007,NM,0.03554426552659325
2007,NV,0.047704266245825744
2007,NY,0.04421444819714559
2007,OH,0.05605911854659695
2007,OK,0.039694609962435734
2007,OR,0.051818631122310735
2007,PA,0.045986336036510755
2007,PR,0.1117904975121868
2007,RI,0.0511316377776452
2007,SC,0.05619769880510443
2007,SD,0.028462998102466792
2007,TN,0.04645437462286602
2007,TX,0.043688155927239826
2007,UT,0.02564241469411139
2007,VA,0.030910522777601056
2007,VT,0.03874530355650795
2007,WA,0.04606386397017353
2007,WI,0.04815652915861684
2007,WV,0.04481837078095615
2007,WY,0.027393878731109857
2008,AK,0.0647915366055309
2008,AL,0.059076283077795805
2008,AR,0.05398487193972253
2008,AZ,0.05759469765307855
2008,CA,0.07254438606915897
2008,CO,0.048172601036820535
2008,CT,0.056210052276049145
2008,DE,0.04833198760018745
2008,FL,0.06289983749073236
2008,GA,0.06382950846674042
2008,HI,0.04068951000586369
2008,IA,0.04111889419906737
2008,ID,0.049664998995194005
2008,IL,0.06469459232552904
2008,IN,0.0588646249052636
2008,KS,0.04552364859205936
2008,KY,0.0648732770775129
2008,LA,0.04652906839335989
2008,MA,0.05299669099157591
2008,MD,0.04302404207731556
2008,ME,0.05361434514969789
2008,MI,0.08192504346371733
2008,MN,0.054114433248186586
2008,MO,0.06127920311979698
2008,MS,0.06687465629483529
2008,MT,0.0467834779871036
2008,NC,0.05904177884028242
2008,ND,0.03040618098050236
2008,NE,0.03234812253797689
2008,NH,0.03750401248237555
2008,NJ,0.054019733488435355
2008,NM,0.04380723757957742
2008,NV,0.06891093783552787
2008,NY,0.053799562989028535
2008,OH,0.0656400813595959
2008,OK,0.035920576900042175
2008,OR,0.06276433124291884
2008,PA,0.053601774804348176
2008,PR,0.11778092636249556
2008,RI,0.07613941018766757
2008,SC,0.06879039980434784
2008,SD,0.030604033018325632
2008,TN,0.06468026240562831
2008,TX,0.04850000899661897
2008,UT,0.03336490134320283
2008,VA,0.0406388745789008
2008,VT,0.04445238845054998
2008,WA,0.05153481739718211
2008,WI,0.04910669249890713
2008,WV,0.04488203929228508
2008,WY,0.029926552060456878
2009,AK,0.07849948188837759
2009,AL,0.09742067028582509
2009,AR,0.07717519565640933
2009,AZ,0.09718517694482254
2009,CA,0.11464356430593899
2009,CO,0.07962019057528505
2009,CT,0.08251929973463684
2009,DE,0.08177557470488128
2009,FL,0.10235712397085249
2009,GA,0.09930801787318139
2009,HI,0.06506680838141513
2009,IA,0.06491811286127201
2009,ID,0.09063102392192542
2009,IL,0.09967547872558231
2009,IN,0.10193852310122743
2009,KS,0.07061562594165047
2009,KY,0.10633134136268652
2009,LA,0.06688308005533057
2009,MA,0.08146499018625102
2009,MD,0.07131930761934357
2009,ME,0.08316434937611408
2009,MI,0.13498489647504777
2009,MN,0.07727706091562722
2009,MO,0.09100520111863256
2009,MS,0.09246455610271558
2009,MT,0.07112215215743545
2009,NC,0.10823112372411803
2009,ND,0.0390523631462812
2009,NE,0.04624626134164426
2009,NH,0.06054740480938704
2009,NJ,0.08853138160775056
2009,NM,0.07061427769033468
2009,NV,0.11063132054538385
2009,NY,0.08411570145319663
2009,OH,0.10240235464324082
2009,OK,0.06521063423949625
2009,OR,0.10644352695306834
2009,PA,0.0801729700897209
2009,PR,0.1532397072102361
2009,RI,0.11196423347631014
2009,SC,0.1099286332825704
2009,SD,0.04604878669974599
2009,TN,0.10397800940533931
2009,TX,0.07603653080990394
2009,UT,0.07608392555091134
2009,VA,0.06784650409207289
2009,VT,0.06533264351318725
2009,WA,0.09064962985728225
2009,WI,0.08838365798671782
2009,WV,0.07964118019799067
2009,WY,0.06280383396642328
2010,AK,0.08021239212730226
2010,AL,0.10371860584547041
2010,AR,0.07832746186620433
2010,AZ,0.10363852776500092
2010,CA,0.12347332784674077
2010,CO,0.09165074080166047
2010,CT,0.09508950891961063
2010,DE,0.083103871241388
2010,FL,0.11259975218835934
2010,GA,0.10405749542550144
2010,HI,0.067197121139438
2010,IA,0.060838581174562284
2010,ID,0.09132845426065327
2010,IL,0.10415998933646776
2010,IN,0.1000736027277045
2010,KS,0.06962529294291603
2010,KY,0.10316442391617076
2010,LA,0.0743479161692291
2010,MA,0.08112976092409097
2010,MD,0.07763662322552728
2010,ME,0.0838713922399366
2010,MI,0.12774088527064936
2010,MN,0.0739599624488692
2010,MO,0.09432069127265637
2010,MS,0.10149713279340877
2010,MT,0.07165223908264086
2010,NC,0.10828109462421147
2010,ND,0.03657021125510385
2010,NE,0.04653259243385077
2010,NH,0.06066000013577456
2010,NJ,0.09680405141985468
2010,NM,0.07837566773447156
